index,dong,name_subway,Latitude,Longitude
0,강남구,S_강남구청역,37.5148554,127.033969
1,강남구,S_강남역,37.5026761,127.0260437
2,강남구,S_논현역,37.5148554,127.033969
3,강남구,S_대치역,37.490713,127.0586709
4,강남구,S_도곡역,37.490713,127.0586709
5,강남구,S_매봉역,37.490713,127.0586709
6,강남구,S_봉은사,37.5085884,127.0405045
7,강남구,S_삼성역,37.5045703,127.0494465
8,강남구,S_삼성중앙,37.5085884,127.0405045
9,강남구,S_선릉역,37.5045703,127.0494465
10,강남구,S_선정릉,37.5070339,127.047777
11,강남구,S_수서역,37.485319,127.0939179
12,강남구,S_신사역,37.5211419,127.0346289
13,강남구,S_압구정역,37.5270213,127.0357939
14,강남구,S_언주,37.5085884,127.0405045
15,강남구,S_역삼역,37.5045703,127.0494465
16,강남구,S_일원역,37.4890175,127.0824833
17,강남구,S_청담역,37.5148554,127.033969
18,강남구,S_학동역,37.5148554,127.033969
19,강남구,S_학여울역,37.490713,127.0586709
20,강동구,S_강동구청역,37.5486728,127.1275525
21,강동구,S_강동역,37.538274,127.14567
22,강동구,S_고덕역,37.5555874,127.1475975
23,강동구,S_굽은다리역,37.5374092,127.1411034
24,강동구,S_길동역,37.5374092,127.1411034
25,강동구,S_둔촌동역,37.5374092,127.1411034
26,강동구,S_둔촌오륜,37.5231922,127.1313538
27,강동구,S_명일역,37.5374092,127.1411034
28,강동구,S_상일동역,37.5555874,127.1475975
29,강동구,S_암사역,37.5486728,127.1275525
30,강동구,S_중앙보훈병원,37.5372136,127.15142
31,강동구,S_천호역,37.538274,127.14567
32,강북구,S_미아사거리역,37.6315748,127.0278216
33,강북구,S_미아역,37.6315748,127.0278216
34,강북구,S_수유역,37.6315748,127.0278216
35,강서구,S_개화산역,37.5722225,126.8059564
36,강서구,S_김포공항역,37.5551049,126.8058738
37,강서구,S_까치산(5)역,37.5535944,126.8412653
38,강서구,S_마곡역,37.5533338,126.8510294
39,강서구,S_발산역,37.5533338,126.8510294
40,강서구,S_방화역,37.5746758,126.811399
41,강서구,S_송정역,37.5533338,126.8510294
42,강서구,S_우장산역,37.5535944,126.8412653
43,강서구,S_화곡역,37.5488694,126.8451583
44,관악구,S_낙성대역,37.4795497,126.9433403
45,관악구,S_봉천역,37.4795497,126.9433403
46,관악구,S_서울대입구역,37.4795497,126.9433403
47,관악구,S_신림역,37.4795497,126.9433403
48,광진구,S_강변역,37.5354211,127.094533
49,광진구,S_건대입구(2)역,37.5407487,127.0690014
50,광진구,S_광나루역,37.5417175,127.0873849
51,광진구,S_구의역,37.5382826,127.0907553
52,광진구,S_군자(5)역,37.5538892,127.0857152
53,광진구,S_뚝섬유원지역,37.5319161,127.0669943
54,광진구,S_아차산역,37.5538892,127.0857152
55,광진구,S_어린이대공원역,37.5486706,127.0759024
56,광진구,S_중곡역,37.5486706,127.0759024
57,구로구,S_구로디지털단지역,37.4851265,126.9015288
58,구로구,S_남구로역,37.488497,126.8904141
59,구로구,S_대림(2)역,37.4925043,126.8949615
60,구로구,S_도림천역,37.5144011,126.8826846
61,구로구,S_신도림역,37.5047436,126.8874857
62,구로구,S_온수역,37.4916055,126.8232976
63,구로구,S_천왕역,37.4943867,126.8325917
64,금천구,S_가산디지털단지역,37.4822545,126.8821832
65,노원구,S_노원(7)역,37.6562713,127.0624069
66,노원구,S_당고개역,37.6705563,127.0793058
67,노원구,S_마들역,37.6562713,127.0624069
68,노원구,S_상계역,37.6610953,127.0735256
69,노원구,S_석계역,37.6245739,127.0830557
70,노원구,S_수락산역,37.6562713,127.0624069
71,노원구,S_중계역,37.6562713,127.0624069
72,노원구,S_태릉입구(6)역,37.6562713,127.0624069
73,노원구,S_하계역,37.6562713,127.0624069
74,노원구,S_화랑대역,37.6245739,127.0830557
75,도봉구,S_도봉산역,37.6890803,127.046509
76,도봉구,S_쌍문역,37.6703415,127.0407797
77,도봉구,S_창동역,37.6531856,127.0481139
78,동대문구,S_신설동역,37.5803953,127.0379534
79,동대문구,S_용두역,37.5690448,127.044881
80,동대문구,S_장한평역,37.5690448,127.044881
81,동대문구,S_제기동역,37.5803953,127.0379534
82,동대문구,S_청량리(서울시립대입구)역,37.5803953,127.0379534
83,동작구,S_남성역,37.4874957,126.9718515
84,동작구,S_동작역,37.5034647,126.9799265
85,동작구,S_보라매역,37.4997186,126.9414329
86,동작구,S_사당(4)역,37.4859712,126.9815356
87,동작구,S_상도역,37.4997186,126.9414329
88,동작구,S_숭실대입구역,37.4997186,126.9414329
89,동작구,S_신대방삼거리역,37.4997186,126.9414329
90,동작구,S_신대방역,37.4875104,126.9129914
91,동작구,S_이수(7)역,37.4874957,126.9718515
92,동작구,S_장승배기역,37.4997186,126.9414329
93,마포구,S_공덕(6)역,37.5495268,126.9414508
94,마포구,S_공릉역,37.6562713,127.0624069
95,마포구,S_광흥창역,37.5467114,126.9328565
96,마포구,S_대흥역,37.5505968,126.9429055
